game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,risk_lambda
8703,4,3,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",171543,7510.6,0.5
1616,0,14,ClusterValue,3,200,10,45,35,"Hit(CCW,7,WEAK)",2858,129.529,0.5
5809,3,9,ClusterValue,3,200,10,45,38,"Hit(CW,6,STRONG)",73273,3274.44,0.5
4651,6,5,ClusterValue,3,200,10,45,6,"Draw(CW,S4)",147001,6954.17,0.5
8894,2,15,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",79,6.6487,0.5
2369,6,9,ClusterValue,3,200,10,45,62,"Hit(CW,8,TOUCH)",80875,3731.75,0.5
1083,7,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",103,8.76364,0.5
366,3,11,ClusterValue,3,200,10,45,68,"Hit(CW,6,STRONG)",54525,2908.48,0.5
6354,2,15,ClusterValue,3,200,10,45,4,"Draw(CW,S2)",151,14.0036,0.5
9260,7,2,ClusterValue,3,200,10,45,40,"Freeze(CW,1)",186366,8324.41,0.5
6267,4,12,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",24433,1159.69,0.5
1158,6,8,ClusterValue,3,200,10,45,30,"PreGuard(CW,G5)",94035,4231.31,0.5
6520,1,5,ClusterValue,3,200,10,45,36,"Hit(CW,0,MIDDLE)",149502,6903.07,0.5
2099,0,14,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",3684,185.104,0.5
4892,6,10,ClusterValue,3,200,10,45,74,"Hit(CW,9,WEAK)",69159,3398.76,0.5
7859,3,14,ClusterValue,3,200,10,45,87,"Hit(CCW,13,MIDDLE)",5273,310.775,0.5
2084,7,10,ClusterValue,3,200,10,45,111,"PostGuard(CCW,8,2)",74681,4051.42,0.5
5335,1,14,ClusterValue,3,200,10,45,85,"Hit(CCW,11,WEAK)",5980,376.469,0.5
5272,2,4,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",154598,6856.23,0.5
5472,3,13,ClusterValue,3,200,10,45,34,"Hit(CW,4,WEAK)",8452,462.048,0.5
4526,5,9,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",75918,3510.66,0.5
6392,2,5,ClusterValue,3,200,10,45,39,"Hit(CCW,0,STRONG)",148440,6792.44,0.5
1255,4,13,ClusterValue,3,200,10,45,7,"Draw(CCW,S4)",12736,794.041,0.5
5259,3,8,ClusterValue,3,200,10,45,64,"Hit(CW,7,WEAK)",105704,5219.54,0.5
7905,3,15,ClusterValue,3,200,10,45,56,"Hit(CW,10,MIDDLE)",103,8.16171,0.5
4159,5,11,ClusterValue,3,200,10,45,63,"Hit(CCW,10,TOUCH)",51536,2880.08,0.5
2788,5,13,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",23617,1815.16,0.5
4360,7,4,ClusterValue,3,200,10,45,45,"Hit(CCW,3,WEAK)",157459,7131.41,0.5
8248,7,13,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",5941,318.879,0.5
2081,5,9,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",72381,3160.74,0.5
1265,4,5,ClusterValue,3,200,10,45,38,"Hit(CW,0,STRONG)",147932,6883.58,0.5
3677,7,15,ClusterValue,3,200,10,45,3,"Draw(CCW,S0)",75,5.9158,0.5
477,2,10,ClusterValue,3,200,10,45,6,"Draw(CW,S4)",65806,3210.49,0.5
8462,7,13,ClusterValue,3,200,10,45,79,"PostGuard(CCW,3,0)",18657,1312.69,0.5
3186,1,11,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",52980,2772.36,0.5
8936,4,15,ClusterValue,3,200,10,45,1,"Draw(CCW,TEE)",145,13.7979,0.5
966,6,3,ClusterValue,3,200,10,45,34,"Hit(CW,0,WEAK)",174290,7754.25,0.5
232,1,13,ClusterValue,3,200,10,45,58,"Pass",8106,454.532,0.5
3968,6,10,ClusterValue,3,200,10,45,18,"Draw(CW,L4)",56227,2464.74,0.5
2440,2,5,ClusterValue,3,200,10,45,11,"Draw(CCW,L0)",148488,6879.56,0.5
1624,6,15,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",91,7.11952,0.5
9851,7,8,ClusterValue,3,200,10,45,2,"Draw(CW,S0)",99997,4988.13,0.5
9879,2,15,ClusterValue,3,200,10,45,0,"Draw(CW,TEE)",117,9.85134,0.5
9832,1,9,ClusterValue,3,200,10,45,56,"Hit(CW,4,MIDDLE)",86340,4232.57,0.5
4221,2,14,ClusterValue,3,200,10,45,3,"Draw(CCW,S0)",5983,379.653,0.5
