game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,q_ref_mean,q_best,regret
1028,6,15,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",151,13.8289,A1,0.77,1.0,0.22999999999999998
2596,1,14,AllGrid,3,50,10,45,35,"Hit(CCW,1,WEAK)",6163,512.289,A1,1.58,1.97,0.3899999999999999
4748,1,3,AllGrid,3,50,10,45,47,"PostGuard(CCW,3,2)",39553,1458.76,A1,0.46,0.985,0.5249999999999999
9206,3,13,AllGrid,3,50,10,45,1,"Draw(CCW,TEE)",4888,278.884,A1,0.59,1.73,1.1400000000000001
5859,1,6,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",31187,1311.17,A1,-0.015,-0.015,0.0
6871,4,5,AllGrid,3,50,10,45,1,"Draw(CCW,TEE)",34813,1413.48,A1,0.795,1.32,0.525
7163,3,13,AllGrid,3,50,10,45,1,"Draw(CCW,TEE)",7851,494.309,A1,1.57,2.465,0.8949999999999998
5807,0,8,AllGrid,3,50,10,45,33,"Hit(CCW,3,TOUCH)",25844,1179.38,A1,-0.295,0.03,0.32499999999999996
5567,2,15,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",129,10.75,A1,1.535,1.93,0.395
2507,3,11,AllGrid,3,50,10,45,44,"Freeze(CW,4)",16587,927.355,A1,0.08,1.715,1.635
7006,3,15,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",145,12.8033,A1,-1.0,-0.97,0.030000000000000027
1984,6,4,AllGrid,3,50,10,45,42,"Hit(CW,3,TOUCH)",38015,1487.82,A1,-0.695,-0.31,0.38499999999999995
1845,7,14,AllGrid,3,50,10,45,44,"PostGuard(CW,10,1)",2665,158.237,A1,1.44,1.44,0.0
5780,2,6,AllGrid,3,50,10,45,32,"Hit(CW,5,TOUCH)",29751,1147.8,A1,-0.65,-0.375,0.275
8645,7,5,AllGrid,3,50,10,45,48,"Hit(CW,2,STRONG)",34787,1455.45,A1,0.625,0.92,0.29500000000000004
6132,0,13,AllGrid,3,50,10,45,2,"Draw(CW,S0)",7585,516.063,A1,1.915,2.62,0.7050000000000001
3339,4,10,AllGrid,3,50,10,45,43,"Hit(CCW,9,TOUCH)",17442,801.04,A1,-0.705,-0.305,0.39999999999999997
3566,6,14,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",5169,446.918,A1,1.0,1.01,0.010000000000000009
5523,3,9,AllGrid,3,50,10,45,0,"Draw(CW,TEE)",22403,1224.56,A1,0.08,0.74,0.66
7015,5,14,AllGrid,3,50,10,45,11,"Draw(CCW,L0)",6123,520.065,A1,-1.135,-1.135,0.0
743,7,3,AllGrid,3,50,10,45,1,"Draw(CCW,TEE)",40910,1562.03,A1,0.59,0.98,0.39
1014,4,15,AllGrid,3,50,10,45,10,"Draw(CW,L0)",61,3.33922,A1,3.325,3.325,0.0
3900,0,10,AllGrid,3,50,10,45,33,"Hit(CCW,9,TOUCH)",16315,737.755,A1,-0.595,0.305,0.8999999999999999
