game_id,end,shot_num,method,depth,playouts,rollouts_per_visit,seed,candidate_idx,label,actual_total_sims,time_sec,arm,risk_lambda,q_ref_mean,q_ref_sd,q_best,regret,q_adj,q_adj_best,regret_adj
6520,1,5,ClusterValue,3,200,10,46,34,"Hit(CW,0,WEAK)",147683,5088.6,A9P5,0.0,1.04,1.95407,1.215,0.175,0.062965,0.2315749999999999,0.1686099999999999
2099,0,14,ClusterValue,3,200,10,46,7,"Draw(CCW,S4)",3913,150.11,A9P5,0.0,0.535,1.32241,0.56,0.025,-0.126205,-0.0434049999999999,0.0828000000000001
4892,6,10,ClusterValue,3,200,10,46,2,"Draw(CW,S0)",69144,2667.15,A9P5,0.0,-0.065,2.03489,0.185,0.25,-1.082445,-0.66805,0.4143949999999998
7859,3,14,ClusterValue,3,200,10,46,89,"Hit(CCW,13,STRONG)",5287,235.209,A9P5,0.0,-0.1,1.90526,0.515,0.615,-1.05263,-0.0462,1.00643
2084,7,10,ClusterValue,3,200,10,46,94,"PostGuard(CW,4,0)",76016,3301.88,A9P5,0.0,1.725,1.89984,2.465,0.7399999999999998,0.7750800000000001,1.623885,0.8488049999999999
5335,1,14,ClusterValue,3,200,10,46,85,"Hit(CCW,11,WEAK)",5976,290.082,A9P5,0.0,0.485,1.67026,0.485,0.0,-0.35013,-0.35013,0.0
5272,2,4,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",155772,5256.88,A9P5,0.0,-0.635,2.07648,-0.41,0.225,-1.67324,-1.427585,0.2456550000000001
5472,3,13,ClusterValue,3,200,10,46,10,"Draw(CW,L0)",8864,396.203,A9P5,0.0,-0.055,1.79777,0.7,0.755,-0.953885,-0.02111,0.932775
4526,5,9,ClusterValue,3,200,10,46,1,"Draw(CCW,TEE)",75935,2639.59,A9P5,0.0,0.365,1.78095,0.685,0.32,-0.525475,-0.15847,0.367005
6392,2,5,ClusterValue,3,200,10,46,54,"Hit(CW,4,WEAK)",148209,5150.04,A9P5,0.0,0.77,1.89132,1.075,0.3049999999999999,-0.1756599999999999,0.1003999999999999,0.2760599999999998
1255,4,13,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",13149,638.408,A9P5,0.0,1.785,1.44526,2.34,0.5549999999999999,1.06237,1.5011899999999998,0.4388199999999997
5259,3,8,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",104231,3849.93,A9P5,0.0,0.62,2.0894,0.965,0.345,-0.4246999999999999,-0.02692,0.3977799999999999
7905,3,15,ClusterValue,3,200,10,46,56,"Hit(CW,10,MIDDLE)",103,6.4136,A9P5,0.0,2.765,1.17037,2.865,0.1,2.179815,2.3683175000000003,0.1885025000000002
4159,5,11,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",49294,1965.22,A9P5,0.0,0.555,1.79638,0.765,0.2099999999999999,-0.34319,-0.0980999999999999,0.24509
2788,5,13,ClusterValue,3,200,10,46,11,"Draw(CCW,L0)",22658,1275.28,A9P5,0.0,2.14,1.35292,3.115,0.975,1.46354,2.4309350000000003,0.9673950000000002
4360,7,4,ClusterValue,3,200,10,46,45,"Hit(CCW,3,WEAK)",158310,5427.6,A9P5,0.0,-0.54,1.9996,-0.47,0.07,-1.5398,-1.414605,0.1251950000000001
8248,7,13,ClusterValue,3,200,10,46,0,"Draw(CW,TEE)",7802,354.31,A9P5,0.0,1.11,1.37764,1.49,0.3799999999999999,0.4211800000000001,0.906925,0.4857449999999998
2081,5,9,ClusterValue,3,200,10,46,24,"Draw(CW,L7)",72554,2441.23,A9P5,0.0,0.515,1.7233,0.865,0.35,-0.34665,0.1088949999999999,0.455545
1265,4,5,ClusterValue,3,200,10,46,38,"Hit(CW,0,STRONG)",146555,5039.31,A9P5,0.0,0.835,1.90204,0.89,0.055,-0.11602,-0.11019,0.00583
3677,7,15,ClusterValue,3,200,10,46,3,"Draw(CCW,S0)",75,4.39723,A9P5,0.0,1.56,0.75921,1.695,0.135,1.180395,1.2149025,0.0345074999999999
