game_id,end,shot_num,method,seed,candidate_idx,cluster_id,is_representative,shot_type,label,e_score,e_sd,cluster_value,land_x,land_y,cluster_sd,cluster_value_risk,risk_lambda,rep_rank,rep_visits
9526,7,1,RandomK,42,11,1,1,"Draw","Draw(CCW,L0)",,,,,,,,0,,
9526,7,1,RandomK,42,15,2,1,"Draw","Draw(CCW,L2)",,,,,,,,0,,
9526,7,1,RandomK,42,39,3,1,"Hit","Hit(CCW,0,STRONG)",,,,,,,,0,,
9585,2,0,RandomK,42,18,0,1,"Draw","Draw(CW,L4)",,,,,,,,0,,
9585,2,0,RandomK,42,23,1,1,"Draw","Draw(CCW,L6)",,,,,,,,0,,
9585,2,0,RandomK,42,27,2,1,"PreGuard","PreGuard(CCW,G3)",,,,,,,,0,,
9585,2,0,RandomK,42,31,3,1,"PreGuard","PreGuard(CCW,G5)",,,,,,,,0,,
2126,6,1,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
2126,6,1,RandomK,42,21,1,1,"Draw","Draw(CCW,L5)",,,,,,,,0,,
2126,6,1,RandomK,42,25,2,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
2126,6,1,RandomK,42,34,3,1,"Hit","Hit(CW,0,WEAK)",,,,,,,,0,,
5349,1,1,RandomK,42,23,0,1,"Draw","Draw(CCW,L6)",,,,,,,,0,,
5349,1,1,RandomK,42,24,1,1,"Draw","Draw(CW,L7)",,,,,,,,0,,
5349,1,1,RandomK,42,25,2,1,"Draw","Draw(CCW,L7)",,,,,,,,0,,
5349,1,1,RandomK,42,26,3,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
7511,4,0,RandomK,42,19,0,1,"Draw","Draw(CCW,L4)",,,,,,,,0,,
7511,4,0,RandomK,42,24,1,1,"Draw","Draw(CW,L7)",,,,,,,,0,,
7511,4,0,RandomK,42,30,2,1,"PreGuard","PreGuard(CW,G5)",,,,,,,,0,,
7511,4,0,RandomK,42,31,3,1,"PreGuard","PreGuard(CCW,G5)",,,,,,,,0,,
6560,1,0,RandomK,42,3,0,1,"Draw","Draw(CCW,S0)",,,,,,,,0,,
6560,1,0,RandomK,42,7,1,1,"Draw","Draw(CCW,S4)",,,,,,,,0,,
6560,1,0,RandomK,42,11,2,1,"Draw","Draw(CCW,L0)",,,,,,,,0,,
6560,1,0,RandomK,42,12,3,1,"Draw","Draw(CW,L1)",,,,,,,,0,,
2296,1,3,RandomK,42,15,0,1,"Draw","Draw(CCW,L2)",,,,,,,,0,,
2296,1,3,RandomK,42,23,1,1,"Draw","Draw(CCW,L6)",,,,,,,,0,,
2296,1,3,RandomK,42,28,2,1,"PreGuard","PreGuard(CW,G4)",,,,,,,,0,,
2296,1,3,RandomK,42,38,3,1,"Hit","Hit(CW,2,STRONG)",,,,,,,,0,,
2227,1,0,RandomK,42,12,0,1,"Draw","Draw(CW,L1)",,,,,,,,0,,
2227,1,0,RandomK,42,17,1,1,"Draw","Draw(CCW,L3)",,,,,,,,0,,
2227,1,0,RandomK,42,26,2,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
2227,1,0,RandomK,42,32,3,1,"Pass","Pass",,,,,,,,0,,
1846,0,0,RandomK,42,11,0,1,"Draw","Draw(CCW,L0)",,,,,,,,0,,
1846,0,0,RandomK,42,12,1,1,"Draw","Draw(CW,L1)",,,,,,,,0,,
1846,0,0,RandomK,42,22,2,1,"Draw","Draw(CW,L6)",,,,,,,,0,,
1846,0,0,RandomK,42,26,3,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
7360,0,2,RandomK,42,14,0,1,"Draw","Draw(CW,L2)",,,,,,,,0,,
7360,0,2,RandomK,42,26,1,1,"PreGuard","PreGuard(CW,G3)",,,,,,,,0,,
7360,0,2,RandomK,42,45,2,1,"PostGuard","PostGuard(CCW,0,1)",,,,,,,,0,,
7360,0,2,RandomK,42,47,3,1,"PostGuard","PostGuard(CCW,0,2)",,,,,,,,0,,
2359,1,2,RandomK,42,0,0,1,"Draw","Draw(CW,TEE)",,,,,,,,0,,
