game_id,end,shot_num,team,remaining,has_hammer,phase_shot,phase_r,n_stones,n_stones_bin,n_my,n_op,n_my_house,n_op_house,n_house,house_diff,n_my_guard,n_op_guard,n_guard,n_center_guard,center_lane_blocked,n_front_house,n_back_house,n_within_0.61,n_within_1.22,d_no1,no1_mine,d_no2,no1_no2_gap,counting_my,counting_op,score_now,min_pair_dist,mean_nn_dist,x_spread,y_spread,house_mean_nn_dist,house_density,n_cand,q_star,q_2nd,q_gap12,q_median,q_mean,q_min,q_range,q_iqr,q_star_minus_median,n_near_best_025,n_near_best_050,frac_near_best_050,q_sd_mean,q_sd_median,q_sd_best,best_type,n_types,frac_hit,frac_draw,frac_guard,best_type_margin,n_types_near_best_050,best_type_is_hit,best_hist_entropy,best_p_negative,best_p_ge2,qadj_star_l0.5,qadj_best_same_as_q_best_l0.5,qadj_best_type_l0.5,lookahead_gain_best,lookahead_gain_mean,n_cand_ct,K_clusters,n_reps,largest_frac,n_singleton,singleton_frac,size_entropy_norm,mean_cluster_size,type_purity,eta2_q,within_sd_q,between_range_q,best_is_rep,best_cluster_selected,best_cluster_size,rep_q_max,screen_loss,true_top_cluster_selected,rho_cand,rho_cluster,rho_gain,cluster_sd_mean,best_cluster_rank,rho_cluster_risk_l0.5,rho_cand_risk_l0.5,topk_overlap_l0.5,n_seeds_ct,rho_gain_sd,regret_A9P5,regret_A9P5_sd,n_seeds_A9P5,regret_adj_A9P5,regret_adj_A9P5_sd,regret_A11b,regret_A11b_sd,n_seeds_A11b,regret_adj_A11b,regret_adj_A11b_sd,d_A11b_A9P5,dadj_A11b_A9P5
4811,5,13,1,3,1,late,late_r2-4,2,2-4,2,0,2,0,2,2,0,0,0,0,0,2,0,0,0,1.2443763765035072,1,1.323202452725961,0.07882607622245374,2,0,2,2.3609926730297155,2.3609926730297155,1.150195,0.2657500000000006,2.3609926730297155,0.16337508491021102,45,2.035,1.995,0.040000000000000036,1.405,1.4731111111111113,0.55,1.485,0.5999999999999999,0.6300000000000001,15,19,0.4222222222222222,1.3413904444444442,1.33932,1.33932,Draw,4,0.0,0.5777777777777777,0.4,0.040000000000000036,2,0,1.67012095399621,0.135,0.795,1.3653400000000002,1,Draw,0.040000000000000036,-0.14855555555555558,45.0,9.0,9.0,0.2444444444444444,2.0,0.22222222222222224,0.8837229164294212,5.0,0.8222222222222222,0.7100571192108294,0.1764708935910998,0.8037500000000002,0.0,1.0,8.0,1.95,0.0850000000000001,1.0,0.5393152305140163,0.679500723931459,0.14018549341744255,1.186727947095149,1.8,0.6733333333333333,0.44920283761943774,1.0,5,0.09453046430762604,0.1670000000000001,0.11771788309343663,5,0.18552100000000019,0.12871914841040566,0.45200000000000023,0.0794197708382491,5,0.42149100000000034,0.07816548618156226,0.28500000000000014,0.23597000000000015
5202,4,13,1,3,1,late,late_r2-4,1,0-1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0.8787665227129446,1,,,1,0,1,,,,,,0.08168754245510551,39,2.035,1.995,0.040000000000000036,1.52,1.524102564102564,0.69,1.3450000000000002,0.7174999999999998,0.5150000000000001,16,19,0.48717948717948717,1.401239487179487,1.39352,1.35786,Draw,4,0.0,0.6666666666666666,0.3076923076923077,0.1050000000000002,2,0,1.7051844886204797,0.135,0.78,1.35607,1,Draw,0.1100000000000001,-0.203974358974359,39.0,8.0,8.0,0.3333333333333333,1.0,0.125,0.869746219600881,4.875,0.8461538461538461,0.6369492396715782,0.20059895946487222,0.9825000000000002,0.4,1.0,3.0,1.968,0.06700000000000009,1.0,0.5698157826735443,0.5848634486208659,0.015047665947321676,1.1711675428431714,2.6,0.19047619047619052,0.4769754587346112,1.0,5,0.13953681804634696,0.5010000000000001,0.3930235361909006,5,0.4805210000000001,0.34715558890071174,0.8800000000000004,0.38013155617496447,5,0.854984,0.3164952976032977,0.37900000000000034,0.3744629999999999
4076,2,14,0,2,0,late,late_r2-4,1,0-1,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,0,1.7156698407619129,0,,,0,1,-1,,,,,,0.08168754245510551,43,-0.77,-0.83,0.05999999999999994,-1.195,-1.2908139534883722,-1.935,1.165,0.5775000000000001,0.42500000000000004,8,26,0.6046511627906976,0.8034022790697676,0.879261,0.614085,Hit,5,0.18604651162790697,0.6511627906976745,0.13953488372093023,0.18999999999999995,2,1,0.6587536638759601,0.87,0.0,-1.0548435,0,Hit,-1.525,-1.455581395348837,43.0,9.0,9.0,0.3953488372093023,2.0,0.22222222222222224,0.8130407757931051,4.777777777777778,0.930232558139535,0.7614990051136887,0.1354875874149267,1.0875,0.0,1.0,6.0,-0.845,0.07499999999999996,1.0,0.6499982965816942,0.853839981579393,0.2038416849976988,0.6542167639711558,2.6,0.864828797614116,0.7152509791906653,1.0,5,0.0478639599457232,0.22799999999999992,0.09934787365615838,5,0.4365689,0.22402673577120208,0.39299999999999996,0.1482649655178188,5,0.6348851999999999,0.09018377787024676,0.16500000000000004,0.19831629999999995
1989,4,14,0,2,0,late,late_r2-4,1,0-1,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,0,1.3160784395301082,0,,,0,1,-1,,,,,,0.08168754245510551,43,-0.68,-0.74,0.05999999999999994,-1.725,-1.4598837209302324,-1.94,1.2599999999999998,0.7525,1.045,6,15,0.3488372093023256,0.6811286279069768,0.59108,0.712461,Hit,5,0.18604651162790697,0.6511627906976745,0.13953488372093023,0.09999999999999998,2,1,0.784684243706794,0.825,0.0,-1.0362305,1,Hit,-1.61,-1.1501162790697674,43.0,9.0,9.0,0.18604651162790697,1.0,0.11111111111111112,0.9347535178154109,4.777777777777778,0.8604651162790697,0.9406976382367398,0.08928377475138645,1.0975000000000001,0.0,1.0,6.0,-0.8280000000000001,0.14799999999999996,1.0,0.7119045133676495,0.7852786129128233,0.07337409954517386,0.5514921256710387,1.2,0.6676729603883148,0.7623537382858064,1.0,5,0.1038035934140428,0.3049999999999999,0.1919635382045247,5,0.5410744999999999,0.14046627980586654,0.3049999999999999,0.1919635382045247,5,0.5410744999999999,0.14046627980586654,0.0,0.0
5846,4,14,0,2,0,late,late_r2-4,1,0-1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,-1,,,0,0,0,,,,,,0.0,45,-0.12,-0.185,0.065,-0.75,-0.7992222222222223,-1.795,1.6749999999999998,0.275,0.63,4,10,0.2222222222222222,0.6303794666666666,0.632376,0.930376,Draw,6,0.13333333333333333,0.7111111111111111,0.13333333333333333,0.525,1,0,1.397520139692261,0.5,0.0,-0.585188,1,Draw,-1.12,-1.250111111111111,45.0,9.0,9.0,0.4444444444444445,3.0,0.3333333333333333,0.7688599528978137,5.0,0.8666666666666668,0.7718559162495983,0.15760722948452208,1.1058333333333334,0.2,1.0,20.0,-0.17400000000000002,0.054000000000000006,1.0,0.609204652211738,0.7798990438020353,0.17069439159029726,0.42341905463061275,1.6,0.47177964309647746,0.5635660291467163,1.0,5,0.16760589198396275,0.299,0.4910880776398467,5,0.2867707999999999,0.46738403314680615,0.5319999999999999,0.581760259900932,5,0.5088169999999999,0.5529733204101033,0.23299999999999993,0.22204619999999997
8608,3,12,0,4,0,late,late_r2-4,2,2-4,2,0,2,0,2,2,0,0,0,0,0,1,1,0,2,0.9229858066779797,1,0.9533225000853596,0.030336693407379878,2,0,2,0.6941825576863784,0.6941825576863784,0.044707,0.3442000000000007,0.6941825576863784,0.16337508491021102,45,0.025,-0.015,0.04,-0.215,-0.2066666666666667,-0.48,0.505,0.175,0.24,25,44,0.9777777777777777,1.6054180000000002,1.6169,1.75624,PreGuard,4,0.0,0.5777777777777777,0.4,0.04,3,0,2.0563243890183966,0.64,0.28,-0.83731,0,Draw,-2.1,-2.880222222222222,45.0,9.0,9.0,0.3111111111111111,2.0,0.22222222222222224,0.8135908077909745,5.0,0.7777777777777778,0.28585642942248,0.10184320217725798,0.43,0.0,1.0,12.0,-0.03,0.05500000000000001,1.0,0.11165851223671722,0.04663092810496047,-0.06502758413175673,1.528955367310253,5.6,0.059999999999999984,0.12087936624130233,1.0,5,0.18151283821611477,0.13999999999999999,0.08223442101699263,5,0.08510799999999996,0.06348361329902388,0.194,0.08309632964216891,5,0.13935,0.023345235059857503,0.05400000000000002,0.05424200000000004
3045,2,9,1,7,1,mid,mid_r5-8,6,5-8,4,2,3,2,5,1,0,0,0,0,1,2,3,4,4,0.2782394119890306,0,0.3232173125066186,0.04497790051758799,0,1,-1,0.3199186497236415,0.7996933898044185,0.8269822851575958,0.6150990121291222,0.58694285192991,0.40843771227552755,71,1.025,1.01,0.014999999999999902,0.295,0.31021126760563383,-0.215,1.24,0.3275,0.73,5,16,0.22535211267605634,1.8872619718309862,1.88223,1.70715,Hit,6,0.22535211267605634,0.4225352112676056,0.3380281690140845,0.2499999999999999,3,1,2.512800967680012,0.265,0.41,0.17142499999999994,1,Hit,0.21499999999999986,1.0342253521126763,71.0,15.0,10.0,0.22535211267605634,6.0,0.4,0.8303432727400368,4.733333333333333,0.6901408450704225,0.7706766626250177,0.13082110071629433,0.8584375,0.0,1.0,4.0,0.8949999999999999,0.1299999999999999,1.0,0.28186861156666215,0.5324160186955588,0.25054740712889656,1.7362892419955203,5.0,0.5628571428571427,0.28198272413205516,0.96,5,0.1542624791559335,0.33599999999999985,0.16067824992823393,5,0.3840229999999999,0.1570153366951777,0.3419999999999998,0.10003749297138552,5,0.3883349999999999,0.09565268083017853,0.00599999999999995,0.0043119999999999825
5235,3,8,0,8,0,mid,mid_r5-8,7,5-8,4,3,4,3,7,1,0,0,0,0,1,4,3,5,7,0.22636273293985434,0,0.35483036630570214,0.1284676333658478,0,1,-1,0.3572763000480181,0.4480076433783794,0.3362629754818496,0.4326402676872445,0.4480076433783794,0.5718127971857385,87,0.395,0.335,0.06,-0.585,-0.5218965517241381,-1.155,1.55,0.47250000000000003,0.98,3,10,0.11494252873563218,1.9592625287356322,1.94663,2.13752,Freeze,6,0.27586206896551724,0.367816091954023,0.3448275862068966,0.06,4,0,2.7712392805104322,0.45,0.31,-0.642595,0,Hit,1.365,0.3271264367816092,87.0,18.0,10.0,0.25287356321839083,5.0,0.2777777777777778,0.813965756285034,4.833333333333333,0.7241379310344828,0.5903559984351887,0.1849810105792099,1.0650000000000002,0.0,1.0,14.0,-0.059,0.454,0.8,0.30032964094401926,0.414008610903801,0.11367896995978174,1.8369173713836453,4.0,0.37774542978182624,0.28363739052784565,0.9,5,0.15036479267074745,0.716,0.27405291459862274,5,0.656315,0.25912553982095243,0.628,0.09087078738516574,5,0.6180859999999999,0.10166567620145948,-0.08799999999999997,-0.03822900000000007
6131,1,7,1,9,1,mid,early_r9+,7,5-8,3,4,3,4,7,-1,0,0,0,0,1,5,2,4,7,0.1219281914079369,0,0.2287811681498266,0.1068529767418897,0,1,-1,0.3122065997130934,0.3622324343905889,0.3348324935113546,0.36473652721617356,0.3622324343905889,0.5718127971857385,91,0.94,0.94,0.0,0.225,0.24741758241758247,-0.35,1.29,0.33,0.715,8,21,0.23076923076923078,2.0395596703296706,2.03418,1.87787,Hit,6,0.3516483516483517,0.37362637362637363,0.26373626373626374,0.4099999999999999,3,1,2.6204122551980156,0.29,0.385,0.0010649999999999826,1,Hit,1.22,0.9954395604395605,91.0,19.0,10.0,0.26373626373626374,9.0,0.47368421052631576,0.7505567657771719,4.7894736842105265,0.6483516483516484,0.6525589384019419,0.17397668313241169,0.975,0.6,0.6,1.0,0.9259999999999999,0.013999999999999967,0.6,0.26757659519285826,0.523325647772402,0.2557490525795438,1.842705602867829,8.6,0.4978287115691236,0.23425435974672126,0.8800000000000001,5,0.12124326857003816,0.1549999999999999,0.15329709716755893,5,0.19214799999999993,0.18826131096829216,0.2339999999999999,0.12521980673998828,5,0.28356499999999984,0.15302531204019806,0.07900000000000001,0.09141699999999991
4532,1,7,1,9,1,mid,early_r9+,7,5-8,3,4,3,4,7,-1,0,0,0,0,1,5,2,5,7,0.30891430858572977,1,0.32034115599466784,0.011426847408938068,2,0,2,0.3031841997466213,0.4309894953105265,0.3069622454804054,0.4776255240504739,0.4309894953105265,0.5718127971857385,91,0.895,0.865,0.030000000000000027,0.41,0.4136263736263737,-0.075,0.97,0.23250000000000004,0.48500000000000004,9,49,0.5384615384615384,1.9975610989010983,2.01087,1.83684,Hit,6,0.3516483516483517,0.37362637362637363,0.26373626373626374,0.030000000000000027,5,1,2.575157775924957,0.31,0.395,-0.023419999999999996,1,Hit,-0.565,-1.29489010989011,91.0,19.0,10.0,0.17582417582417584,5.0,0.2631578947368421,0.8816502695866053,4.7894736842105265,0.6923076923076923,0.5298845414000601,0.13276781164577484,0.5149999999999999,0.0,0.6,5.0,0.701,0.19400000000000003,0.2,0.21557496971826012,0.20233425966313795,-0.01324071005512219,1.8799154435059797,9.4,0.18,0.20832164246474733,0.9199999999999999,5,0.15205103806727505,0.297,0.004472135954999583,5,0.341825,0.02234949943511039,0.244,0.11403946685248927,5,0.296999,0.07788448372429517,-0.05299999999999999,-0.04482599999999998
