group,level,target,n,mean,se,median,kruskal_p
no1_mine,0,d_A9_A1,26,-0.026846153846153867,0.03347015627311509,0.0,0.6927691004770853
no1_mine,1,d_A9_A1,22,0.01809090909090909,0.06503674982064658,0.0,0.6927691004770853
no1_mine,-1,d_A2_A1,2,0.1145,0.049499999999999995,0.1145,0.4653327958303217
no1_mine,0,d_A2_A1,26,-0.06719230769230768,0.11177584738740119,-0.04299999999999985,0.4653327958303217
no1_mine,1,d_A2_A1,22,0.05268181818181821,0.13571686191345123,0.0,0.4653327958303217
no1_mine,-1,d_A9_A2,2,-0.1014999999999999,0.0935,-0.1014999999999999,0.5320662078876087
no1_mine,0,d_A9_A2,26,0.04034615384615382,0.10879172681084352,0.01199999999999995,0.5320662078876087
no1_mine,1,d_A9_A2,22,-0.034590909090909124,0.11732027166372692,0.0,0.5320662078876087
no1_mine,-1,dadj_A9_A1,2,-6.0750000000001775e-05,0.04071825,-6.0750000000001775e-05,0.7271280659674481
no1_mine,0,dadj_A9_A1,26,-0.036541700000000024,0.03515225982694537,-0.0122225000000001,0.7271280659674481
no1_mine,1,dadj_A9_A1,22,0.015080690909090934,0.0752892908941103,0.0,0.7271280659674481
no1_mine,-1,screen_loss,2,0.12749999999999995,0.044500000000000046,0.12749999999999995,0.5833792601681813
no1_mine,0,screen_loss,26,0.288576923076923,0.05827054073165758,0.20199999999999996,0.5833792601681813
no1_mine,1,screen_loss,22,0.2412727272727273,0.044111536211273984,0.222,0.5833792601681813
no1_mine,-1,rho_gain,2,0.3588458964800997,0.027631686029125663,0.3588458964800997,0.04543221010733372
no1_mine,0,rho_gain,25,0.07835992254080901,0.06977097075701202,0.1415457278551702,0.04543221010733372
no1_mine,1,rho_gain,22,0.06566733742139462,0.03624616437717411,0.0560508737031333,0.04543221010733372
best_type_is_hit,0,d_A9_A1,23,0.02491304347826087,0.03720443006918184,0.0,0.4585871028720113
best_type_is_hit,1,d_A9_A1,27,-0.03137037037037039,0.05299081111947747,0.0,0.4585871028720113
best_type_is_hit,0,d_A2_A1,23,-0.013826086956521742,0.1486136148888509,0.0,0.9456104093235
best_type_is_hit,1,d_A2_A1,27,-0.0015185185185184612,0.08979392948933106,0.0,0.9456104093235
best_type_is_hit,0,d_A9_A2,23,0.0387391304347826,0.14725249506185598,0.0,0.6058787747866128
best_type_is_hit,1,d_A9_A2,27,-0.029851851851851893,0.06675811470898299,0.0,0.6058787747866128
best_type_is_hit,0,dadj_A9_A1,23,0.02453649130434785,0.04023881168383518,0.0,0.29222677679611664
best_type_is_hit,1,dadj_A9_A1,27,-0.04380628888888892,0.060624842915904066,-0.0244450000000002,0.29222677679611664
best_type_is_hit,0,screen_loss,23,0.18069565217391306,0.028613717016708742,0.194,0.07170807494727716
best_type_is_hit,1,screen_loss,27,0.32999999999999996,0.059470646833188506,0.2500000000000001,0.07170807494727716
best_type_is_hit,0,rho_gain,23,0.13266018716870623,0.03620903520650685,0.1193435119887141,0.35677004051625427
best_type_is_hit,1,rho_gain,26,0.04116103749503319,0.0670587589641591,0.08472610749695644,0.35677004051625427
multimodal,0,d_A9_A1,6,0.0146666666666666,0.043495338192091844,0.0,0.845828225949469
multimodal,1,d_A9_A1,44,-0.008227272727272722,0.03743525578832018,0.0,0.845828225949469
multimodal,0,d_A2_A1,6,0.3436666666666666,0.6149353172850333,0.34000000000000014,0.25596362678882245
multimodal,1,d_A2_A1,44,-0.05502272727272724,0.04959644211473369,0.0,0.25596362678882245
multimodal,0,d_A9_A2,6,-0.329,0.6199723649755152,-0.40450000000000014,0.2564782122646335
multimodal,1,d_A9_A2,44,0.046795454545454536,0.031540111371273244,0.0,0.2564782122646335
multimodal,0,dadj_A9_A1,6,0.02897013333333325,0.0308530728214297,0.0,0.48206203606274245
multimodal,1,dadj_A9_A1,44,-0.018005711363636354,0.04249865339013028,-0.0122225000000001,0.48206203606274245
multimodal,0,screen_loss,6,0.5656666666666665,0.223794052150136,0.5794999999999999,0.20977943320973091
multimodal,1,screen_loss,44,0.2198181818181818,0.023444105466130575,0.19849999999999995,0.20977943320973091
multimodal,0,rho_gain,6,-0.12468281952543227,0.28215771793778915,0.026259397617506702,0.6473147843885354
multimodal,1,rho_gain,43,0.11324344643962093,0.023555793552008406,0.1193435119887141,0.6473147843885354
multitype,0,d_A9_A1,12,-0.05175,0.05283997066615383,0.0,0.3448620957275885
multitype,1,d_A9_A1,38,0.009131578947368418,0.040521251138334526,0.0,0.3448620957275885
multitype,0,d_A2_A1,12,0.07400000000000002,0.31171001967154727,-0.04299999999999985,0.9637149183734917
multitype,1,d_A2_A1,38,-0.03281578947368418,0.05272113025205623,0.0,0.9637149183734917
multitype,0,d_A9_A2,12,-0.12575000000000003,0.3078636584544686,-0.04850000000000005,0.509944071261817
multitype,1,d_A9_A2,38,0.04194736842105261,0.031457097776560215,0.0,0.509944071261817
multitype,0,dadj_A9_A1,12,-0.046442058333333404,0.05343587780513125,0.0,0.6571516567360347
multitype,1,dadj_A9_A1,38,-0.001608573684210515,0.04666833036547626,0.0,0.6571516567360347
multitype,0,screen_loss,12,0.43175,0.12110358232321268,0.3320000000000001,0.15230904942572193
multitype,1,screen_loss,38,0.20749999999999996,0.023544448144028094,0.19849999999999995,0.15230904942572193
multitype,0,rho_gain,12,0.020856252255330814,0.1445669924777053,0.1299783922421246,0.7448076856724569
multitype,1,rho_gain,37,0.10462422304559828,0.025501355135367703,0.1010510302835634,0.7448076856724569
degenerate,0,d_A9_A1,42,-0.00652380952380953,0.039675531243286176,-0.0085,1.0
degenerate,1,d_A9_A1,8,0.0,0.0,0.0,1.0
degenerate,0,d_A2_A1,42,-0.10795238095238091,0.07192591969371961,-0.04249999999999985,0.07156190048540821
degenerate,1,d_A2_A1,8,0.5218750000000001,0.30657662975301014,0.0,0.07156190048540821
degenerate,0,d_A9_A2,42,0.10142857142857142,0.060411770769057314,0.0385,0.09539570042734852
degenerate,1,d_A9_A2,8,-0.5218750000000001,0.30657662975301014,0.0,0.09539570042734852
degenerate,0,dadj_A9_A1,42,-0.01472453571428572,0.044798946672267234,-0.03229600000000005,0.6713751741380634
degenerate,1,dadj_A9_A1,8,0.0,0.0,0.0,0.6713751741380634
degenerate,0,screen_loss,42,0.23311904761904753,0.02494496153802427,0.20199999999999996,0.96832931742334
degenerate,1,screen_loss,8,0.409375,0.18389010086578494,0.21250000000000002,0.96832931742334
degenerate,0,rho_gain,42,0.11462183035941718,0.023694450974923002,0.11887728430889655,0.5872281657620816
degenerate,1,rho_gain,7,-0.09896365647777373,0.24142768250037716,0.0257122782695654,0.5872281657620816
crowded_house,0,d_A9_A1,18,0.011166666666666658,0.047605901896979504,-0.01549999999999995,0.9757653651867525
crowded_house,1,d_A9_A1,32,-0.01484375,0.04500985800120132,0.0,0.9757653651867525
crowded_house,0,d_A2_A1,18,0.13716666666666666,0.13282017057818557,0.05649999999999995,0.1342238556066865
crowded_house,1,d_A2_A1,32,-0.08837499999999995,0.10459876053589336,-0.0454999999999999,0.1342238556066865
crowded_house,0,d_A9_A2,18,-0.126,0.13306350147518514,-0.06999999999999995,0.14272824795199188
crowded_house,1,d_A9_A2,32,0.07353124999999999,0.09137226656666804,0.07249999999999995,0.14272824795199188
