target,feature,n,rho,p
d_A9P5_A2,q_median,50,-0.08515289207832619,0.5565577814670162
d_A9P5_A2,q_mean,50,-0.08478036775120913,0.5582919035204251
d_A9P5_A2,n_singleton,50,0.07555177948389696,0.6020423123847379
d_A9P5_A2,rho_cand,49,-0.07465618979584243,0.610181178367813
d_A9P5_A2,best_p_negative,50,0.07001105192840654,0.62900688287459
d_A9P5_A2,n_back_house,50,-0.06166053423034353,0.6705573787107926
d_A9P5_A2,q_min,50,-0.05894079706129773,0.6843115227364354
d_A9P5_A2,largest_frac,50,-0.05629369803912424,0.6977964534989483
d_A9P5_A2,size_entropy_norm,50,-0.0519995214497594,0.7198682019621603
d_A9P5_A2,md_rep_q_max,50,0.05188192180409791,0.7204759455462868
d_A9P5_A2,best_p_ge2,50,-0.04750234302282671,0.743228025923081
d_A9P5_A2,score_now,50,-0.047426484369748716,0.7436240989036182
d_A9P5_A2,q_gap12,50,-0.0468697449250936,0.7465329496982761
d_A9P5_A2,rho_cand_risk_l0.5,49,-0.03786390487253253,0.7961771984005125
d_A9P5_A2,n_near_best_050,50,-0.03655547280467111,0.8010158926141195
d_A9P5_A2,q_range,50,0.031056349072797716,0.8304700334808678
d_A9P5_A2,no1_mine,50,-0.027618707514994595,0.8490031760884786
d_A9P5_A2,y_spread,48,0.02714735728804667,0.8546738298099404
d_A9P5_A2,rho_gain_sd,49,-0.023558288132310427,0.8723508883355723
d_A9P5_A2,within_sd_q,50,0.023200519900189242,0.8729405184590352
d_A9P5_A2,frac_near_best_050,50,-0.020967432900816867,0.8850835672397327
d_A9P5_A2,type_purity,50,-0.014582232275516046,0.9199400504289158
d_A9P5_A2,min_pair_dist,48,-0.01237919492334928,0.933447647988793
d_A9P5_A2,q_star_minus_median,50,0.008599361174623631,0.9527372580693154
d_A9P5_A2,n_types_near_best_050,50,-0.008424585746171977,0.9536967812998368
d_A9P5_A2,best_type_margin,50,-0.0064619967628004185,0.9644756115433725
d_A9P5_A2,counting_my,50,0.0018248366103237998,0.9899651290668895
d_A9R05_A9P5,house_mean_nn_dist,47,-0.27931709614616707,0.05725311069082441
d_A9R05_A9P5,type_purity,50,-0.26967783382777394,0.05823375188316058
d_A9R05_A9P5,mean_nn_dist,48,-0.25687665557189676,0.0779866818389715
d_A9R05_A9P5,frac_hit,50,0.21374408383014507,0.1361042593302353
d_A9R05_A9P5,n_back_house,50,0.20932563693069442,0.14458258411386704
d_A9R05_A9P5,min_pair_dist,48,-0.20590431094283268,0.16030696375991393
d_A9R05_A9P5,n_op,50,0.20223252109798026,0.15900326722845876
d_A9R05_A9P5,n_op_house,50,0.19977145003090901,0.1642451138947063
d_A9R05_A9P5,n_cand,50,0.18678291032783695,0.1940078551771856
d_A9R05_A9P5,n_cand_ct,50,0.18678291032783695,0.1940078551771856
d_A9R05_A9P5,between_range_q,50,0.1804652606119466,0.2097935723282784
d_A9R05_A9P5,K_clusters,50,0.17927817140467264,0.2128573987927315
d_A9R05_A9P5,n_stones,50,0.1758762593820247,0.22181043644291637
d_A9R05_A9P5,best_is_rep,50,0.17468044604465782,0.22501869813660597
d_A9R05_A9P5,n_house,50,0.1735032523873355,0.2282082174296805
d_A9R05_A9P5,house_density,50,0.1735032523873355,0.2282082174296805
d_A9R05_A9P5,frac_draw,50,-0.16169742358029962,0.26192361170285944
d_A9R05_A9P5,q_min,50,-0.16168976304074117,0.26194651663349605
d_A9R05_A9P5,n_within_1.22,50,0.1527115449254568,0.2897150363888852
d_A9R05_A9P5,q_gap12,50,-0.14638896004724747,0.31038101576359073
d_A9R05_A9P5,no1_no2_gap,47,-0.1436040326052687,0.33555109460165494
d_A9R05_A9P5,q_range,50,0.1416115214865684,0.32660610601921364
d_A9R05_A9P5,mean_cluster_size,50,0.1415794646899977,0.32671674710084353
d_A9R05_A9P5,size_entropy_norm,50,-0.13471334365165671,0.3509567152670203
d_A9R05_A9P5,counting_op,50,0.12916623400858485,0.37132446026610694
d_A9R05_A9P5,house_diff,50,-0.1290342829682589,0.3718174377491582
d_A9R05_A9P5,n_my_house,50,0.1283551321634359,0.3743609998595975
d_A9R05_A9P5,n_my,50,0.12780118824070977,0.3764433310912564
d_A9R05_A9P5,best_p_ge2,50,-0.12497367554621737,0.38717963803057426
d_A9R05_A9P5,n_within_0.61,50,0.12129835156047776,0.4014021509008283
d_A9R05_A9P5,md_screen_loss,50,-0.11968906937513438,0.40772398214020517
d_A9R05_A9P5,n_singleton,50,0.11898249358911264,0.4105177123820435
d_A9R05_A9P5,within_sd_q,50,-0.1184591235003703,0.4125941459492811
d_A9R05_A9P5,q_iqr,50,-0.11487625751009252,0.42696990312389294
d_A9R05_A9P5,n_front_house,50,0.11419059157252316,0.42975289861148
d_A9R05_A9P5,remaining,50,-0.1049610480803286,0.4681931383745037
d_A9R05_A9P5,best_cluster_size,50,-0.10460122541753074,0.46972815568588416
d_A9R05_A9P5,best_type_margin,50,0.09926773100469506,0.4927937769006628
d_A9R05_A9P5,score_now,50,-0.09849479420022353,0.4961845343951477
d_A9R05_A9P5,y_spread,48,0.09758807860607145,0.5093399770340721
d_A9R05_A9P5,q_star,50,-0.08692996657316049,0.5483205834891229
d_A9R05_A9P5,best_cluster_rank,50,0.08337799902487254,0.5648427206697544
d_A9R05_A9P5,q_mean,50,-0.08157624622003523,0.5733113212603138
d_A9R05_A9P5,q_2nd,50,-0.08121854952799419,0.57499947714282
d_A9R05_A9P5,md_rep_q_max,50,-0.07869102925606816,0.5869925040909536
d_A9R05_A9P5,rho_gain_sd,49,-0.07472718391871233,0.6098405863743622
d_A9R05_A9P5,n_near_best_050,50,0.0679793413162669,0.6390182768299636
d_A9R05_A9P5,singleton_frac,50,0.06325444037160215,0.6625458000897337
d_A9R05_A9P5,best_cluster_selected,50,-0.0558732010259626,0.6999472233815371
d_A9R05_A9P5,largest_frac,50,0.054115679408781585,0.7089617230774887
d_A9R05_A9P5,q_sd_median,50,-0.05278930457125127,0.7157911368069615
d_A9R05_A9P5,q_median,50,-0.0527525251072847,0.7159808288239253
d_A9R05_A9P5,q_sd_mean,50,-0.052503860599065234,0.7172637739904916
d_A9R05_A9P5,qadj_star_l0.5,50,-0.04997388261402154,0.7303601664771054
d_A9R05_A9P5,x_spread,48,-0.04933861563454282,0.739118895393625
d_A9R05_A9P5,rep_q_max,50,-0.04739329198244364,0.7437974235693793
d_A9R05_A9P5,topk_overlap_l0.5,50,-0.04621729759215612,0.749946308069429
d_A9R05_A9P5,rho_cluster_risk_l0.5,49,0.04202945498739664,0.7743130346995627
d_A9R05_A9P5,best_p_negative,50,0.03795723386754723,0.7935497386544339
d_A9R05_A9P5,cluster_sd_mean,50,-0.03673823854590239,0.8000414196366215
d_A9R05_A9P5,true_top_cluster_selected,50,0.03635214245600277,0.8021003646480236
d_A9R05_A9P5,n_types,50,0.03243592023480098,0.8230574507558371
d_A9R05_A9P5,best_hist_entropy,50,-0.03119450270262609,0.8297270495129283
d_A9R05_A9P5,frac_guard,50,-0.030541772774282536,0.8332386881608427
d_A9R05_A9P5,counting_my,50,-0.029467627183356212,0.8390245006820318
d_A9R05_A9P5,rho_cand_risk_l0.5,49,0.029326106373574894,0.8414600460357051
d_A9R05_A9P5,no1_mine,50,-0.025749183605526745,0.8591169264110261
d_A9R05_A9P5,n_near_best_025,50,0.02206666683627108,0.8791027252662357
d_A9R05_A9P5,frac_near_best_050,50,0.020828477847812166,0.8858400689715539
d_A9R05_A9P5,rho_cand,49,0.01796415940161394,0.9024930063962735
d_A9R05_A9P5,rho_cluster,49,-0.011414291696349319,0.9379554220133753
d_A9R05_A9P5,q_sd_best,50,0.006219764255928317,0.9658064631827884
d_A9R05_A9P5,n_types_near_best_050,50,-0.005049047451931596,0.9722397437493883
d_A9R05_A9P5,q_star_minus_median,50,-0.003737039027252801,0.9794515045209189
dadj_A9R05_A9P5,house_mean_nn_dist,47,-0.27837253836454395,0.05813530763685816
dadj_A9R05_A9P5,type_purity,50,-0.2607675786607479,0.06739124850760311
dadj_A9R05_A9P5,mean_nn_dist,48,-0.25277852193836636,0.08302250610025823
dadj_A9R05_A9P5,frac_hit,50,0.21593244569296818,0.13204536920214233
dadj_A9R05_A9P5,best_is_rep,50,0.2130297125507012,0.13744923472323944
dadj_A9R05_A9P5,n_back_house,50,0.2060102634613059,0.15119713453106054
dadj_A9R05_A9P5,q_min,50,-0.20444677270710285,0.15439282505063104
dadj_A9R05_A9P5,n_op,50,0.19667161632417343,0.17102540964431678
dadj_A9R05_A9P5,min_pair_dist,48,-0.19614567772985686,0.18150442458577049
dadj_A9R05_A9P5,n_op_house,50,0.1956770224730852,0.17324330674647437
dadj_A9R05_A9P5,mean_cluster_size,50,0.18661179941327843,0.19442395380159364
dadj_A9R05_A9P5,house_diff,50,-0.1854558300469923,0.19725159876455786
dadj_A9R05_A9P5,counting_op,50,0.17974483115442239,0.2116492597748738
dadj_A9R05_A9P5,n_cand,50,0.17152751594189564,0.23363114831407544
dadj_A9R05_A9P5,n_cand_ct,50,0.17152751594189564,0.23363114831407544
dadj_A9R05_A9P5,K_clusters,50,0.16226416993281662,0.26023276252214605
dadj_A9R05_A9P5,best_p_ge2,50,-0.16008010490406463,0.2667891196954989
dadj_A9R05_A9P5,n_stones,50,0.15769208007414484,0.27408262671353606
dadj_A9R05_A9P5,n_house,50,0.15708350634809592,0.27596222457078023
dadj_A9R05_A9P5,house_density,50,0.15708350634809592,0.27596222457078023
dadj_A9R05_A9P5,q_mean,50,-0.15152584597977373,0.2935205729112838
dadj_A9R05_A9P5,score_now,50,-0.15081362607563795,0.29582200438871004
dadj_A9R05_A9P5,frac_draw,50,-0.14451068117820773,0.316697457552408
dadj_A9R05_A9P5,between_range_q,50,0.14367097132525639,0.31954753292792093
dadj_A9R05_A9P5,best_type_margin,50,0.1377432831157103,0.3401270089320736
dadj_A9R05_A9P5,q_range,50,0.13620469325952023,0.34560010379518413
dadj_A9R05_A9P5,n_within_1.22,50,0.13398245438781853,0.3536004174702624
dadj_A9R05_A9P5,q_star,50,-0.12973777981082715,0.3691936667531084
dadj_A9R05_A9P5,size_entropy_norm,50,-0.12925876609544693,0.370978988864871
dadj_A9R05_A9P5,q_2nd,50,-0.12728203748302122,0.37840113973755485
dadj_A9R05_A9P5,md_screen_loss,50,-0.12365646821644664,0.3922422944004781
dadj_A9R05_A9P5,q_median,50,-0.12343686243283813,0.3930901085282158
dadj_A9R05_A9P5,q_gap12,50,-0.12280067296525092,0.39555225467575134
dadj_A9R05_A9P5,y_spread,48,0.12165170573250976,0.4101232990175166
dadj_A9R05_A9P5,md_rep_q_max,50,-0.12123714182374346,0.40164155690358666
dadj_A9R05_A9P5,n_singleton,50,0.1203091962744693,0.40528112855655096
dadj_A9R05_A9P5,no1_no2_gap,47,-0.11661709089469224,0.43502178623119653
dadj_A9R05_A9P5,n_within_0.61,50,0.11255221521334445,0.4364439278784051
dadj_A9R05_A9P5,n_my_house,50,0.10515215840614679,0.4673789495308014
dadj_A9R05_A9P5,n_my,50,0.10131517613664759,0.48387039081813954
dadj_A9R05_A9P5,x_spread,48,-0.09845402147017801,0.50557117566129
dadj_A9R05_A9P5,rep_q_max,50,-0.09589083921532608,0.5076957761362522
dadj_A9R05_A9P5,n_front_house,50,0.0947969859798436,0.5125715050789592
dadj_A9R05_A9P5,qadj_star_l0.5,50,-0.09104786219723043,0.5294602760345277
dadj_A9R05_A9P5,best_cluster_size,50,-0.08880438384564267,0.5396958783047612
dadj_A9R05_A9P5,counting_my,50,-0.08812925880690976,0.5427947201898333
dadj_A9R05_A9P5,singleton_frac,50,0.08284699838688295,0.5673324666147935
dadj_A9R05_A9P5,frac_guard,50,-0.08130386928016536,0.5745966024139687
dadj_A9R05_A9P5,no1_mine,50,-0.07812033725848101,0.5897158666472855
