target,feature,n,rho,p
d_A9P5_A1,score_now,150,0.1399670428141225,0.08757724214165329
d_A9P5_A1,n_op,150,0.13983969231110271,0.0878687523671579
d_A9P5_A1,type_purity,150,-0.13395343724698935,0.1022090100184303
d_A9P5_A1,min_pair_dist,150,-0.1296839729399813,0.11371857147459309
d_A9P5_A1,y_spread,150,0.12419392120575239,0.12997439185313212
d_A9P5_A1,best_cluster_rank,150,0.12288895880120942,0.1340890726688128
d_A9P5_A1,n_cand,150,0.11706250804401722,0.15368562956200066
d_A9P5_A1,n_cand_ct,150,0.11706250804401722,0.15368562956200066
d_A9P5_A1,K_clusters,150,0.11680915768356917,0.15458420494763772
d_A9P5_A1,true_top_cluster_selected,150,-0.11490088926034,0.16147973841982383
d_A9P5_A1,best_cluster_selected,150,-0.11347257290729072,0.16678954370950988
d_A9P5_A1,n_house,150,0.11038565762800734,0.17870714093470866
d_A9P5_A1,house_density,150,0.11038565762800734,0.17870714093470866
d_A9P5_A1,q_sd_best,150,-0.10815921801895824,0.18768401882448665
d_A9P5_A1,n_stones,150,0.10736092398356051,0.19098162496798385
d_A9P5_A1,remaining,150,-0.10185376337100198,0.21488610288694035
d_A9P5_A1,topk_overlap_l0.5,150,-0.09661447917834809,0.23954060386296655
d_A9P5_A1,frac_draw,150,-0.09561943645440903,0.244437566961641
d_A9P5_A1,n_singleton,150,0.09439121252006073,0.2505774591368435
d_A9P5_A1,no1_no2_gap,149,-0.08765380001335012,0.287787599056695
d_A9P5_A1,q_sd_median,150,-0.08756915456150714,0.28661567465403837
d_A9P5_A1,within_sd_q,150,0.08712938551253502,0.2890520272768809
d_A9P5_A1,q_sd_mean,150,-0.08668005357455982,0.29155558412871824
d_A9P5_A1,frac_guard,150,-0.08366801133158842,0.30870955317320514
d_A9P5_A1,best_hist_entropy,150,-0.08298049239463688,0.3127158131019801
d_A9P5_A1,between_range_q,150,0.08235099562614194,0.3164135614749013
d_A9P5_A1,n_my,150,0.0805456292397584,0.3271753909258311
d_A9P5_A1,n_within_1.22,150,0.07775856423289035,0.3442453929576888
d_A9P5_A1,cluster_sd_mean,150,-0.07548419945334407,0.35858445819609386
d_A9P5_A1,n_types,150,0.07294868561526724,0.3750013803308478
d_A9P5_A1,frac_near_best_050,150,-0.07049154544298873,0.3913419293475069
d_A9P5_A1,x_spread,150,0.06789013308891377,0.40910017607336246
d_A9P5_A1,n_near_best_025,150,-0.06536169438400348,0.42680689838613356
d_A9P5_A1,best_p_negative,150,-0.06347317136887992,0.4403159572177692
d_A9P5_A1,q_range,150,0.06275803291569615,0.445494186327792
d_A9P5_A1,n_my_house,150,0.06261449886176262,0.4465376222473639
d_A9P5_A1,singleton_frac,150,0.060446652124104404,0.4624634732252139
d_A9P5_A1,largest_frac,150,-0.059894522686566906,0.4665691716896185
d_A9P5_A1,rho_cluster_risk_l0.5,149,-0.05939462071140908,0.47181229799918945
d_A9P5_A1,house_mean_nn_dist,149,-0.05931795180901367,0.47238555818189687
d_A9P5_A1,best_is_rep,150,-0.05903408153244104,0.47300723431988734
d_A9P5_A1,n_front_house,150,0.05556802981822081,0.49942455323848206
d_A9P5_A1,lookahead_gain_best,150,-0.055017870249709486,0.5036878900249546
d_A9P5_A1,best_type_margin,150,-0.054811062599088904,0.5052954026413915
