target,feature,n,rho,p
d_A9R05_A9P5,true_top_cluster_selected,200,0.04052014682764467,0.5688923139868329
d_A9R05_A9P5,n_types,200,-0.039194315971825586,0.5816139280820467
d_A9R05_A9P5,lookahead_gain_best,150,0.039134877716034404,0.6344484196113451
d_A9R05_A9P5,rho_cluster,198,-0.03734903010615739,0.6013902997114849
d_A9R05_A9P5,n_op,200,0.035993419905026774,0.6128585821171175
d_A9R05_A9P5,n_op_house,200,0.03500367420173893,0.6226665390836946
d_A9R05_A9P5,size_entropy_norm,200,0.03469388035774823,0.6257502802992801
d_A9R05_A9P5,rho_cluster_risk_l0.5,198,-0.03214493221909942,0.6530193535567359
d_A9R05_A9P5,n_within_1.22,200,0.030751841861913362,0.6655429883356591
d_A9R05_A9P5,rho_cand_risk_l0.5,198,-0.03066931040897501,0.6679785601276552
d_A9R05_A9P5,q_iqr,200,-0.029239142679836495,0.6810725670833327
d_A9R05_A9P5,q_range,200,0.027856753511139816,0.6953828526791715
d_A9R05_A9P5,within_sd_q,200,-0.02698055503755216,0.7045095978691844
d_A9R05_A9P5,best_cluster_rank,200,0.02666391693569243,0.7078182910490326
d_A9R05_A9P5,best_cluster_selected,200,-0.025853312988062056,0.7163135091845881
d_A9R05_A9P5,frac_draw,200,-0.025193509239456874,0.7232541994345635
d_A9R05_A9P5,topk_overlap_l0.5,200,-0.025184487091079996,0.7233492646087281
d_A9R05_A9P5,best_type_margin,200,0.024674083260976722,0.7287341805822954
d_A9R05_A9P5,n_cand,200,0.024527219433111373,0.7302861165286831
d_A9R05_A9P5,n_cand_ct,200,0.024527219433111373,0.7302861165286831
d_A9R05_A9P5,n_stones,200,0.02287233792341385,0.7478479669232521
d_A9R05_A9P5,house_diff,200,-0.021908731773246357,0.7581347185225934
d_A9R05_A9P5,n_house,200,0.017445933001806312,0.8063054913896295
d_A9R05_A9P5,house_density,200,0.017445933001806312,0.8063054913896295
d_A9R05_A9P5,lookahead_gain_mean,150,-0.01739556813733751,0.8326648539681276
d_A9R05_A9P5,frac_guard,200,-0.01683302840606495,0.8129829520341698
d_A9R05_A9P5,K_clusters,200,0.016660299966108422,0.8148672525125648
d_A9R05_A9P5,rho_gain_sd,198,0.014998913538274875,0.8338792486555021
d_A9R05_A9P5,n_within_0.61,200,-0.012075776259614465,0.8652358395837626
d_A9R05_A9P5,md_screen_loss,200,0.01176270923314842,0.8686977379760056
d_A9R05_A9P5,n_my_house,200,0.006781660837059849,0.9240708941862914
d_A9R05_A9P5,n_near_best_050,200,0.006662752701084246,0.9253983269797385
d_A9R05_A9P5,n_my,200,0.005919571998504578,0.93369936207139
d_A9R05_A9P5,n_near_best_025,200,-0.005189878305496616,0.9418567250631396
d_A9R05_A9P5,q_gap12,200,-0.005108375690849099,0.9427682475197702
d_A9R05_A9P5,n_types_near_best_050,200,0.004118384829826517,0.9538458604670608
d_A9R05_A9P5,x_spread,198,-0.0034160305062716353,0.9619046423597086
d_A9R05_A9P5,no1_no2_gap,196,0.001552775315798168,0.9827671787838834
d_A9R05_A9P5,type_purity,200,-0.0012280923052043551,0.986230000608584
d_A9R05_A9P5,q_star_minus_median,200,-0.0011083134875997493,0.987572908405462
d_A9R05_A9P5,frac_near_best_050,200,-0.00034347782092302386,0.9961485759979238
dadj_A9R05_A9P5,best_p_ge2,200,-0.16828660456101194,0.01721758653092017
dadj_A9R05_A9P5,q_min,200,-0.1618571980077138,0.02203417934724229
dadj_A9R05_A9P5,q_2nd,200,-0.15168164839779613,0.032026620835936756
dadj_A9R05_A9P5,md_rep_q_max,200,-0.15014786853907836,0.03382538255786005
dadj_A9R05_A9P5,q_mean,200,-0.1491758961907923,0.035009090163348446
dadj_A9R05_A9P5,q_star,200,-0.1485131112621971,0.03583622802329053
dadj_A9R05_A9P5,qadj_star_l0.5,200,-0.14682146344221764,0.03802265222210272
dadj_A9R05_A9P5,best_is_rep,200,0.14126270605853591,0.0460155162486251
dadj_A9R05_A9P5,rep_q_max,200,-0.12989613693392205,0.06676255138698783
dadj_A9R05_A9P5,best_p_negative,200,0.12645978423928728,0.07436322388119039
dadj_A9R05_A9P5,q_median,200,-0.12192666472983693,0.08544731943595185
dadj_A9R05_A9P5,mean_cluster_size,200,0.1217128499919664,0.08600120930943946
dadj_A9R05_A9P5,counting_op,200,0.11806512183054202,0.09590160178271151
dadj_A9R05_A9P5,score_now,200,-0.09782928431579474,0.16815663577793535
dadj_A9R05_A9P5,largest_frac,200,-0.09196300752204521,0.1952693005323995
dadj_A9R05_A9P5,singleton_frac,200,-0.08669307095811798,0.22222240362407641
dadj_A9R05_A9P5,best_cluster_size,200,-0.08664257798773671,0.22249283723277233
dadj_A9R05_A9P5,true_top_cluster_selected,200,0.07728637567040343,0.27669606486891846
dadj_A9R05_A9P5,n_types,200,-0.06608296033418658,0.3525196640475259
dadj_A9R05_A9P5,n_back_house,200,-0.05970537113181121,0.40101017391975
dadj_A9R05_A9P5,between_range_q,200,0.05712177629249843,0.4217339343494133
dadj_A9R05_A9P5,q_sd_best,200,0.056128939500963294,0.42986061378398194
dadj_A9R05_A9P5,q_range,200,0.055367102429410855,0.4361572297513188
dadj_A9R05_A9P5,n_singleton,200,-0.05434523403612938,0.44468529556512243
dadj_A9R05_A9P5,frac_hit,200,0.05347485074599789,0.45202298409544084
dadj_A9R05_A9P5,best_hist_entropy,200,0.04827151693979061,0.49727776350657527
dadj_A9R05_A9P5,lookahead_gain_mean,150,-0.04574522855128678,0.5783020431622609
dadj_A9R05_A9P5,n_front_house,200,0.04538246461116729,0.5234014326286632
dadj_A9R05_A9P5,size_entropy_norm,200,0.044110880139985605,0.5351169771554458
dadj_A9R05_A9P5,n_within_0.61,200,-0.043975366972444856,0.5363731985045794
dadj_A9R05_A9P5,cluster_sd_mean,200,0.04338356248675696,0.5418764902725384
dadj_A9R05_A9P5,n_types_near_best_050,200,-0.04132962315509213,0.5611906558842754
dadj_A9R05_A9P5,n_op,200,0.04028013760780763,0.5711854442151095
dadj_A9R05_A9P5,no1_mine,200,-0.03983304268638134,0.5754687444471039
dadj_A9R05_A9P5,min_pair_dist,198,-0.03861194398287345,0.5891421168552169
dadj_A9R05_A9P5,x_spread,198,0.03824367215861208,0.5927019380115532
dadj_A9R05_A9P5,house_diff,200,-0.03625004087228773,0.6103266767039062
dadj_A9R05_A9P5,no1_no2_gap,196,0.03437823664158919,0.6323952627941535
dadj_A9R05_A9P5,counting_my,200,-0.03411807997988473,0.6314991593427031
dadj_A9R05_A9P5,q_star_minus_median,200,0.03215145513372318,0.6512998911417294
dadj_A9R05_A9P5,n_op_house,200,0.031876937324067614,0.6540837758891347
dadj_A9R05_A9P5,q_gap12,200,-0.03176236965932399,0.6552470231578482
dadj_A9R05_A9P5,mean_nn_dist,198,-0.03146281873758057,0.6599175800972561
dadj_A9R05_A9P5,frac_near_best_050,200,-0.030860171722913624,0.6644362050340223
dadj_A9R05_A9P5,best_type_margin,200,0.030384669557556577,0.6692996803742165
dadj_A9R05_A9P5,best_cluster_selected,200,0.02726794655048297,0.701511309619197
dadj_A9R05_A9P5,frac_guard,200,-0.02683007567846543,0.7060813366850343
dadj_A9R05_A9P5,n_near_best_050,200,-0.026132997355603458,0.7133783845588781
dadj_A9R05_A9P5,rho_cluster,198,0.025682889846875133,0.7194743566335905
dadj_A9R05_A9P5,remaining,200,0.025482690894209143,0.7202093829862394
dadj_A9R05_A9P5,y_spread,198,-0.024570320805615088,0.7311486997363555
dadj_A9R05_A9P5,q_sd_median,200,0.02354099640566375,0.7407358326833864
dadj_A9R05_A9P5,rho_cluster_risk_l0.5,198,0.022801631056078936,0.7498346548095328
dadj_A9R05_A9P5,q_sd_mean,200,0.02185128250518491,0.7587493694724997
dadj_A9R05_A9P5,house_mean_nn_dist,196,-0.019304493103217923,0.7882688829733069
dadj_A9R05_A9P5,rho_cand_risk_l0.5,198,0.01887027824956884,0.7918795959138097
dadj_A9R05_A9P5,rho_gain_sd,198,-0.01822789267886613,0.7988108473790461
