group,level,target,n,mean,se,median,kruskal_p
best_type_is_hit,1,dadj_A9R05_A9P5,104,0.017672568269230766,0.013189587513409495,0.0,0.9686911479366632
best_type_is_hit,0,screen_loss,96,0.2084895833333333,0.014806781835750328,0.20350000000000001,0.2790964292698497
best_type_is_hit,1,screen_loss,104,0.32957692307692305,0.04381827264944696,0.2104999999999999,0.2790964292698497
best_type_is_hit,0,rho_gain,96,0.1052037022697737,0.01428992054088908,0.10460700932933935,0.33937114477322294
best_type_is_hit,1,rho_gain,102,0.053272402292607754,0.03077662472048356,0.09279927246260461,0.33937114477322294
best_type_is_hit,0,eta2_q,96,0.47826463231791977,0.022998062809058303,0.4907457751796841,0.18102548383129777
best_type_is_hit,1,eta2_q,104,0.5095025786598494,0.026954719112831666,0.56501682161974,0.18102548383129777
multimodal,0,d_A9P5_A1,16,-0.04887500000000002,0.08565370565052434,0.0,0.8797672749849719
multimodal,1,d_A9P5_A1,184,0.012956521739130436,0.020862976050060947,0.0,0.8797672749849719
multimodal,0,d_A9P5_A2,16,-0.4814375,0.29484655569677254,-0.46750000000000014,0.012113076432887428
multimodal,1,d_A9P5_A2,184,-0.06497826086956522,0.028483572600450938,-0.0235,0.012113076432887428
multimodal,0,d_A2_A1,16,0.43256249999999996,0.3124432610991154,0.5670000000000001,0.03249984515458454
multimodal,1,d_A2_A1,184,0.07793478260869567,0.033388937296690166,0.0,0.03249984515458454
multimodal,0,d_A9R05_A9P5,16,0.010562500000000013,0.021595132312244192,0.0,0.5389585338997263
multimodal,1,d_A9R05_A9P5,184,0.025527173913043478,0.010596729806351141,0.0004999999999999,0.5389585338997263
multimodal,0,dadj_A9R05_A9P5,16,0.004885231250000001,0.020787785167540325,0.0,0.6743896146758084
multimodal,1,dadj_A9R05_A9P5,184,0.02271183097826086,0.011796445624055778,0.0,0.6743896146758084
multimodal,0,screen_loss,16,0.9063125,0.21888639973644625,0.6955,0.0014494356310998104
multimodal,1,screen_loss,184,0.21624999999999997,0.011927961607749334,0.20200000000000007,0.0014494356310998104
multimodal,0,rho_gain,15,-0.05341693340669544,0.14856996275378753,0.0839551355333154,0.681724838793587
multimodal,1,rho_gain,183,0.08926007897729343,0.014326697199964763,0.0954217787064184,0.681724838793587
multimodal,0,eta2_q,16,0.2812500555862761,0.08402346167845379,0.08195830861364164,0.005165892921399305
multimodal,1,eta2_q,184,0.5130525651835012,0.017378989670746806,0.5352564414743731,0.005165892921399305
multitype,0,d_A9P5_A1,34,-0.0035882352941176403,0.060968697114924225,0.0,0.9700840376353911
multitype,1,d_A9P5_A1,166,0.010385542168674699,0.02118871837197449,0.0,0.9700840376353911
multitype,0,d_A9P5_A2,34,-0.3770588235294118,0.17170950752756567,-0.0339999999999999,0.14367270498207874
multitype,1,d_A9P5_A2,166,-0.04119879518072289,0.022985747635626573,-0.025499999999999953,0.14367270498207874
multitype,0,d_A2_A1,34,0.37347058823529417,0.18046225174627825,0.028499999999999952,0.1118706002941239
multitype,1,d_A2_A1,166,0.051584337349397595,0.029200618106806173,0.00049999999999995,0.1118706002941239
multitype,0,d_A9R05_A9P5,34,0.009941176470588247,0.01966556121745,0.0,0.7840320585177449
multitype,1,d_A9R05_A9P5,166,0.02727710843373494,0.01122941953970406,0.0,0.7840320585177449
multitype,0,dadj_A9R05_A9P5,34,0.001812344117647067,0.018944318630658482,0.0,0.7368269147986567
multitype,1,dadj_A9R05_A9P5,166,0.025274222289156614,0.012639653297451826,0.0,0.7368269147986567
multitype,0,screen_loss,34,0.5691470588235295,0.11939637346696953,0.40149999999999997,0.02468158579941204
multitype,1,screen_loss,166,0.21048192771084331,0.011581710357931176,0.20350000000000001,0.02468158579941204
multitype,0,rho_gain,33,-0.020880191174256248,0.08454487894232453,0.0990259199721951,0.8901564698359368
multitype,1,rho_gain,165,0.09831749551814983,0.011873495093082437,0.0939644442954716,0.8901564698359368
multitype,0,eta2_q,34,0.4882008499579089,0.05742654334931192,0.5810664104955674,0.6141796125676591
multitype,1,eta2_q,166,0.49580026496732366,0.018080069054972968,0.5070515158405121,0.6141796125676591
degenerate,0,d_A9P5_A1,168,0.009535714285714285,0.024229506747139164,0.0,0.9573632651514075
degenerate,1,d_A9P5_A1,32,0.0,0.0,0.0,0.9573632651514075
degenerate,0,d_A9P5_A2,168,-0.01320833333333333,0.02112693630333905,-0.0245,0.001542856174764441
degenerate,1,d_A9P5_A2,32,-0.545,0.17566521035490285,-0.2425,0.001542856174764441
degenerate,0,d_A2_A1,168,0.02274404761904763,0.029776453013257674,0.00049999999999995,0.0012395080129892378
degenerate,1,d_A2_A1,32,0.545,0.17566521035490285,0.2425,0.0012395080129892378
degenerate,0,d_A9R05_A9P5,168,0.028964285714285717,0.011750364441311842,0.01749999999999995,0.18115015548144803
degenerate,1,d_A9R05_A9P5,32,0.0,0.0,0.0,0.18115015548144803
degenerate,0,dadj_A9R05_A9P5,168,0.025340122619047604,0.013048344107898489,0.01079349999999985,0.30949444457009384
degenerate,1,dadj_A9R05_A9P5,32,0.0,0.0,0.0,0.30949444457009384
