arm_a,arm_b,mean_diff,ci_lo,ci_hi,p,p_holm,a_win,b_win,tie,cohens_d,need_n
A1N,A2,-0.15458,-0.19779399999999997,-0.11414320000000001,8.004312435233325e-10,2.8015093523316638e-08,297,199,4,-0.32008008447276975,77.6108654776428
A1N,A5,-0.157382,-0.1886791,-0.12763919999999998,3.0959250711732255e-21,1.2693292791810224e-19,328,169,3,-0.44583466641960173,40.48753332948296
A1N,A9,-0.10862000000000001,-0.1401535,-0.07874910000000002,4.6448793719837525e-09,1.579258986474476e-07,291,203,6,-0.30867654542932765,83.3759454693269
A1N,A9P5,-0.089672,-0.12182399999999999,-0.05942875000000001,0.00013236811397569545,0.003067545167720138,274,220,6,-0.25383558518112515,122.81553113762916
A1N,A9P5N,0.024758000000000006,-6.439999999998796e-05,0.04679045,1.2909176078368362e-05,0.0003743661062726825,198,297,5,0.09262805806757782,915.7924173774256
A2,A5,-0.0028020000000000033,-0.0338665,0.028908150000000007,0.27128291928275083,1.0,264,233,3,-0.007822680602054415,128262.54814102488
A2,A9,0.04596,0.013668949999999992,0.0798561,0.040073364866237124,0.44627608817310216,216,259,25,0.12119917553059241,535.3285053941747
A2,A9P5,0.06490800000000002,0.032545000000000004,0.09855634999999997,5.085511936261033e-05,0.0013222331034278686,201,276,23,0.1703643582218634,271.42708789278385
A2,A9P5N,0.17933800000000003,0.1454004,0.21480155,3.62636467916978e-23,1.5230731652513075e-21,156,333,11,0.4441570899201315,40.78638461279295
A5,A9,0.04876199999999999,0.02142975,0.0769007,0.0013297047363246078,0.026594094726492157,218,278,4,0.15444914481014174,330.03087978139155
A5,A9P5,0.06771,0.04066140000000001,0.09497019999999999,5.398434142864033e-08,1.7814832671451308e-06,191,306,3,0.21963798145930516,163.70196088193762
A5,A9P5N,0.18214000000000002,0.1549776,0.21049914999999997,1.9856770727046105e-36,8.935546827170747e-35,126,370,4,0.57506918663305,24.733810960756216
A9,A9P5,0.018948000000000007,0.005572000000000008,0.032024449999999996,0.0004839357072142697,0.010162649851499663,187,267,46,0.12720789088492687,486.042250750669
A9,A9P5N,0.133378,0.10869290000000001,0.15908389999999997,5.970569886388133e-25,2.6270507500107785e-23,141,335,24,0.4616936906327972,37.821357466337425
A9P5,A9P5N,0.11443,0.0898317,0.14059605,3.3127151250693594e-16,1.2588317475263565e-14,170,304,26,0.3938524880359198,51.59883153746314
